time_ps,d_topGa_min,d_GaN
1.810000000000000053e+00,2.639828886954607157e+00,2.333802554544835317e+00
1.820000000000000062e+00,2.720231244104074797e+00,2.209486333517363121e+00
1.830000000000000071e+00,2.687793342148907971e+00,2.006748167060331323e+00
1.840000000000000080e+00,2.736638778099878877e+00,1.799990536780680106e+00
1.850000000000000089e+00,2.839361117663620426e+00,1.818266081325832895e+00
1.860000000000000098e+00,2.929990056996780723e+00,1.984475592946409073e+00
1.870000000000000107e+00,2.878383688461286560e+00,2.073035961096671986e+00
1.880000000000000115e+00,2.808536336688559842e+00,2.028851823618472050e+00
1.890000000000000124e+00,2.722611360036536254e+00,1.905293158046813762e+00
1.900000000000000133e+00,2.629979161666494036e+00,1.852573513737039157e+00
1.910000000000000142e+00,2.545055936222227810e+00,1.879946526500155812e+00
1.920000000000000151e+00,2.482698175634726834e+00,1.881962690862919230e+00
1.930000000000000160e+00,2.451567849377210173e+00,1.972359456336496342e+00
1.940000000000000169e+00,2.456454701414214625e+00,2.077912140803841012e+00
1.950000000000000178e+00,2.493362030211417224e+00,2.115783269264600364e+00
1.960000000000000187e+00,2.548493823359202270e+00,2.089326835825357609e+00
1.970000000000000195e+00,2.604721399247912128e+00,2.013465746964670622e+00
1.980000000000000204e+00,2.632808062297744556e+00,1.909743465704229370e+00
1.989999999999999991e+00,2.500483339056670307e+00,1.834104519513542142e+00
2.000000000000000000e+00,2.387580130927546396e+00,1.896371061817807790e+00
2.010000000000000231e+00,2.309142365143387998e+00,1.987319003104433435e+00
2.020000000000000018e+00,2.294912209344837084e+00,1.957318301145728245e+00
2.030000000000000249e+00,2.349963622718445944e+00,1.866000763826210163e+00
2.040000000000000036e+00,2.436470612279162840e+00,1.863870099711887551e+00
2.050000000000000266e+00,2.519619779907278367e+00,1.958200899729136690e+00
2.060000000000000053e+00,2.596094251678856768e+00,2.039594875165164467e+00
2.070000000000000284e+00,2.675481200774918022e+00,2.038293733297534605e+00
2.080000000000000071e+00,2.758778661600093773e+00,1.963090354211950439e+00
2.090000000000000302e+00,2.830602220729715235e+00,1.909013637405453157e+00
2.100000000000000089e+00,2.860088849144376333e+00,1.892023939594845716e+00
2.110000000000000320e+00,2.814119448424320602e+00,1.934398741366422758e+00
2.120000000000000107e+00,2.726853798886182290e+00,2.002942767779448907e+00
2.129999999999999893e+00,2.646098747212583202e+00,1.986277385588427480e+00
2.140000000000000124e+00,2.583107242218177113e+00,1.902338559378955463e+00
2.149999999999999911e+00,2.542902384245214975e+00,1.857019047021327696e+00
2.160000000000000142e+00,2.524325968134859988e+00,1.886282506201020226e+00
2.169999999999999929e+00,2.519169228813340045e+00,1.943909308815614301e+00
2.180000000000000160e+00,2.516044932130584222e+00,1.987675630604752497e+00
2.189999999999999947e+00,2.522740959036420261e+00,1.974659334771443620e+00
2.200000000000000178e+00,2.539225662539664530e+00,1.895674465830037958e+00
2.209999999999999964e+00,2.508750391031359772e+00,1.817420588251381641e+00
2.220000000000000195e+00,2.476497369289940575e+00,1.856677738704269220e+00
2.229999999999999982e+00,2.435387033820292313e+00,1.979418276287252976e+00
2.240000000000000213e+00,2.408350104283013327e+00,2.057864034624250937e+00
2.250000000000000000e+00,2.417279664105912662e+00,2.032479886985354423e+00
2.260000000000000231e+00,2.462561696689039348e+00,1.925470887471425252e+00
2.270000000000000018e+00,2.525941754672898387e+00,1.863031773373712285e+00
2.280000000000000249e+00,2.565171300108434860e+00,1.926499495873279511e+00
2.290000000000000036e+00,2.569252807821760687e+00,2.011906752063822523e+00
2.300000000000000266e+00,2.568470274248856988e+00,2.050992145231180341e+00
2.310000000000000053e+00,2.573023478342161496e+00,2.063400799166269728e+00
2.320000000000000284e+00,2.578607867241547336e+00,2.031523366860445101e+00
2.330000000000000071e+00,2.576732705966997106e+00,1.952042031950132372e+00
2.340000000000000302e+00,2.560307114878995538e+00,1.895086158041369817e+00
2.350000000000000089e+00,2.546220748972877868e+00,1.909440354816038798e+00
2.360000000000000320e+00,2.553271755552080080e+00,1.919509878015740245e+00
2.370000000000000107e+00,2.590918989721600507e+00,1.910801611837294134e+00
2.379999999999999893e+00,2.658411446503343267e+00,1.941052148217558893e+00
2.390000000000000124e+00,2.740553852453915695e+00,2.002693111812191784e+00
2.399999999999999911e+00,2.820848782919779474e+00,2.018431409486089123e+00
2.410000000000000142e+00,2.850971320409939391e+00,1.992394782868094349e+00
2.419999999999999929e+00,2.761383556263055983e+00,1.954138977785356834e+00
2.430000000000000160e+00,2.662636159016098070e+00,1.909096600725065151e+00
2.439999999999999947e+00,2.561123802200900190e+00,1.886864644324016682e+00
2.450000000000000178e+00,2.450576047952806924e+00,1.896276205013394112e+00
2.459999999999999964e+00,2.332254670935401730e+00,1.920858443535077065e+00
2.470000000000000195e+00,2.248759998866042054e+00,1.921262661194454546e+00
2.479999999999999982e+00,2.239683366750756743e+00,1.878464635946069272e+00
2.490000000000000213e+00,2.306055087048008989e+00,1.838867004788546256e+00
2.500000000000000000e+00,2.416424229910799859e+00,1.885252201749145540e+00
2.510000000000000231e+00,2.527347842403178113e+00,1.967586511465251986e+00
2.520000000000000018e+00,2.557970063331470367e+00,1.983815743182818947e+00
2.530000000000000249e+00,2.538990685311783402e+00,1.923046508771953711e+00
2.540000000000000036e+00,2.545304435956531552e+00,1.862376017886828716e+00
2.550000000000000266e+00,2.573289654061508447e+00,1.893925344172784353e+00
2.560000000000000053e+00,2.620888901880429334e+00,1.963617709127721600e+00
2.570000000000000284e+00,2.680320472555474343e+00,1.973775484901968413e+00
2.580000000000000071e+00,2.740581180206125289e+00,1.941475072824784043e+00
2.590000000000000302e+00,2.792365495149229382e+00,1.922660606919484705e+00
2.600000000000000089e+00,2.827918214411441866e+00,1.935092914797632568e+00
2.610000000000000320e+00,2.849810983433814116e+00,1.966183415910122800e+00
2.620000000000000107e+00,2.870458810800111671e+00,2.000153317773415207e+00
2.630000000000000338e+00,2.894366330442642354e+00,1.989078170107951848e+00
2.640000000000000124e+00,2.921147901151190052e+00,1.887793560535685256e+00
2.649999999999999911e+00,2.922259623921187544e+00,1.791555870884299351e+00
2.660000000000000142e+00,2.903548708752791807e+00,1.877518202974341577e+00
2.669999999999999929e+00,2.896215554788697411e+00,2.038667257352214435e+00
2.680000000000000160e+00,2.879909245132561413e+00,2.095819112542874230e+00
2.689999999999999947e+00,2.859167197786796955e+00,2.017893034950068998e+00
2.700000000000000178e+00,2.850382650119102745e+00,1.869168429783683250e+00
2.709999999999999964e+00,2.879613100765447964e+00,1.782253027378547960e+00
2.720000000000000195e+00,2.928183667224445674e+00,1.855964059269467281e+00
2.729999999999999982e+00,2.847896806768110078e+00,1.993636736243591834e+00
2.740000000000000213e+00,2.746288499411523532e+00,2.111373399661935490e+00
2.750000000000000000e+00,2.637478810530996309e+00,2.178470801135512946e+00
2.760000000000000231e+00,2.539114232483445477e+00,2.143085781414266755e+00
2.770000000000000018e+00,2.464797358039803932e+00,2.010148330099049918e+00
2.780000000000000249e+00,2.418041549705050919e+00,1.868856475869669298e+00
2.790000000000000036e+00,2.391298476142198037e+00,1.827096113071230876e+00
2.800000000000000266e+00,2.380138910021849963e+00,1.893122148462692556e+00
2.810000000000000053e+00,2.391645456019767746e+00,1.987089724521769130e+00
2.820000000000000284e+00,2.428975076446853176e+00,2.074702535352959565e+00
2.830000000000000071e+00,2.482501738005433722e+00,2.093342666287581366e+00
2.840000000000000302e+00,2.469747552706551108e+00,2.021191545524569477e+00
2.850000000000000089e+00,2.418767916936224172e+00,1.918639493104423499e+00
2.860000000000000320e+00,2.405129872127489854e+00,1.866350583089897208e+00
2.870000000000000107e+00,2.416906750207793664e+00,1.889536890616322129e+00
2.880000000000000338e+00,2.435211910717422157e+00,1.970937235428870782e+00
2.890000000000000124e+00,2.461594345723924881e+00,2.106419996202086864e+00
2.900000000000000355e+00,2.503312378529695348e+00,2.186076006295297969e+00
2.910000000000000142e+00,2.555198884314094698e+00,2.121815805318642223e+00
2.919999999999999929e+00,2.597941426014066746e+00,1.959585817768642491e+00
2.930000000000000160e+00,2.632932155297587062e+00,1.848831355451329372e+00
2.939999999999999947e+00,2.675074964332775362e+00,1.895296273989900637e+00
2.950000000000000178e+00,2.707104913463828311e+00,1.997418166533988293e+00
2.959999999999999964e+00,2.713495874513170314e+00,2.063203605803363150e+00
2.970000000000000195e+00,2.708434914650894143e+00,2.055528494329377676e+00
2.979999999999999982e+00,2.689682391603142264e+00,2.000100874381089966e+00
2.990000000000000213e+00,2.651226455661605641e+00,1.893671659501720228e+00
3.000000000000000000e+00,2.594270395795319040e+00,1.823073137232842811e+00
3.010000000000000231e+00,2.529467408685076801e+00,1.919100021181803450e+00
3.020000000000000018e+00,2.462961906587269212e+00,2.082527398259144569e+00
3.030000000000000249e+00,2.389740895934117759e+00,2.142819959082190362e+00
3.040000000000000036e+00,2.335497292847928730e+00,2.056280547430481942e+00
3.050000000000000266e+00,2.345789138094044990e+00,1.885854790274161363e+00
3.060000000000000053e+00,2.411320307570107513e+00,1.782492309576678258e+00
3.070000000000000284e+00,2.478952398595019702e+00,1.861068862052126960e+00
3.080000000000000071e+00,2.539701858998414163e+00,2.025053365369910985e+00
3.090000000000000302e+00,2.619105416626065441e+00,2.142263964240634699e+00
3.100000000000000089e+00,2.598460029344303202e+00,2.123448318656236733e+00
3.110000000000000320e+00,2.590762802226401984e+00,1.962112781884873813e+00
3.120000000000000107e+00,2.627731392380125985e+00,1.778285058666354335e+00
3.130000000000000338e+00,2.745918253936195264e+00,1.811655966926391415e+00
3.140000000000000124e+00,2.920906630568666618e+00,2.005701285615831164e+00
3.150000000000000355e+00,3.082245927582677680e+00,2.146050157462308317e+00
3.160000000000000142e+00,3.197273830890936086e+00,2.163108655991418328e+00
3.170000000000000373e+00,3.278545658138682040e+00,2.074755062073593503e+00
3.180000000000000160e+00,3.340063468214339526e+00,1.968399237654800960e+00
3.189999999999999947e+00,3.400765048588333173e+00,1.936212209159936304e+00
3.200000000000000178e+00,3.478402705265736916e+00,1.933034946140395283e+00
3.209999999999999964e+00,3.576834719692817632e+00,1.887288516602589006e+00
3.220000000000000195e+00,3.688434102786710245e+00,1.937811961904457148e+00
3.229999999999999982e+00,3.806499560922081749e+00,2.093674366968273581e+00
3.240000000000000213e+00,3.922421112501817575e+00,2.183707383877244723e+00
3.250000000000000000e+00,4.024803172044567390e+00,2.186101560152226675e+00
3.260000000000000231e+00,4.100843508852781483e+00,2.213122806285272581e+00
3.270000000000000018e+00,4.139928178519524771e+00,2.258951667876051950e+00
3.280000000000000249e+00,4.131618561689836433e+00,2.225848668755357362e+00
3.290000000000000036e+00,4.076232708028332041e+00,2.136431942491966662e+00
3.300000000000000266e+00,4.005733396283381431e+00,2.058157213091360571e+00
3.310000000000000053e+00,3.947712016928285994e+00,1.978582393154250330e+00
3.320000000000000284e+00,3.919307538430737647e+00,1.962174653286501869e+00
3.330000000000000071e+00,3.928482577968240186e+00,2.053182451805002362e+00
3.340000000000000302e+00,3.966355409806337828e+00,2.043309551927950718e+00
3.350000000000000089e+00,4.009464431317478983e+00,1.951742226857838824e+00
3.360000000000000320e+00,4.043739924871529112e+00,1.944162585896559214e+00
3.370000000000000107e+00,4.068006037765920624e+00,2.021198729195127886e+00
3.380000000000000338e+00,4.063146856624799241e+00,2.088061676962632340e+00
3.390000000000000124e+00,4.029365074996307250e+00,2.156194532712667478e+00
3.400000000000000355e+00,4.002373064945345504e+00,2.182165438228733656e+00
3.410000000000000142e+00,3.975288871189113227e+00,2.099995033922699150e+00
3.420000000000000373e+00,3.948173779736652289e+00,2.002330926045942761e+00
3.430000000000000160e+00,3.931419591954031123e+00,1.994194345719594086e+00
3.439999999999999947e+00,3.907438271924457585e+00,2.023559591536656210e+00
3.450000000000000178e+00,3.789241083449297331e+00,2.057303080977618492e+00
3.459999999999999964e+00,3.660615017452669040e+00,2.122943271121487729e+00
3.470000000000000195e+00,3.544057829339132493e+00,2.083059132069948305e+00
3.479999999999999982e+00,3.442033484584366310e+00,1.902380415821188109e+00
3.490000000000000213e+00,3.357848397426543841e+00,1.840985556434379777e+00
3.500000000000000000e+00,3.300149837628589378e+00,1.948050161186820617e+00
3.510000000000000231e+00,3.256595053564382169e+00,1.982256255432177650e+00
3.520000000000000018e+00,3.229746656333900123e+00,1.860624477561230394e+00
3.530000000000000249e+00,3.228983773108810240e+00,1.852972393318368161e+00
3.540000000000000036e+00,3.249557185725464592e+00,2.005295843360773933e+00
3.550000000000000266e+00,3.271207665220904559e+00,2.078742694635389743e+00
3.560000000000000053e+00,3.280702389580620437e+00,1.988422794276911043e+00
3.570000000000000284e+00,3.275172703736398461e+00,1.879745529187394348e+00
3.580000000000000071e+00,3.272014057564545109e+00,1.888679620713899165e+00
3.590000000000000302e+00,3.283915592779447667e+00,1.943819860712406644e+00
3.600000000000000089e+00,3.316362111968475634e+00,1.959180949402070882e+00
3.610000000000000320e+00,3.373048522479331623e+00,1.994321421881638967e+00
3.620000000000000107e+00,3.446233518698348153e+00,2.036136888153642577e+00
3.630000000000000338e+00,3.520959698349300560e+00,1.998423891065406632e+00
3.640000000000000124e+00,3.582036776821253543e+00,1.949859360687585141e+00
3.650000000000000355e+00,3.615438448335139832e+00,2.001845352624423313e+00
3.660000000000000142e+00,3.614293844515135135e+00,2.139553478621416538e+00
3.670000000000000373e+00,3.599006828501441380e+00,2.290578997136094586e+00
3.680000000000000160e+00,3.577335400406285171e+00,2.389949009465265117e+00
3.690000000000000391e+00,3.540005631365577443e+00,2.334856849903437670e+00
3.700000000000000178e+00,3.480462328096656233e+00,2.110415384136497430e+00
3.709999999999999964e+00,3.408940004942885071e+00,1.850170323186759447e+00
3.720000000000000195e+00,3.352675199478769130e+00,1.818778396894191074e+00
3.729999999999999982e+00,3.320354503739019414e+00,2.051923085370403577e+00
3.740000000000000213e+00,3.309302057911910566e+00,2.277571559802457735e+00
3.750000000000000000e+00,3.339073666827373721e+00,2.303135406548212138e+00
3.760000000000000231e+00,3.394739651725887430e+00,2.174109760267175950e+00
3.770000000000000018e+00,3.440124529432037725e+00,1.990218292053411497e+00
3.780000000000000249e+00,3.460864507171582005e+00,1.833520225768180190e+00
3.790000000000000036e+00,3.470572308683397278e+00,1.888634305911020661e+00
3.800000000000000266e+00,3.469870671840667331e+00,2.069628369772026133e+00
3.810000000000000053e+00,3.456935593397711948e+00,2.253885222044538672e+00
3.820000000000000284e+00,3.432850605793965837e+00,2.383370122865729357e+00
3.830000000000000071e+00,3.406033976533410890e+00,2.355840909756853563e+00
3.840000000000000302e+00,3.395742906537537298e+00,2.098566397687717355e+00
3.850000000000000089e+00,3.420949380405971851e+00,1.801882694578368138e+00
3.860000000000000320e+00,3.485888055947867770e+00,1.856354274654760550e+00
